Case,취득률,시간,날씨,취득 위치,
NFD-U-9,4%,주간,맑음,도심,"주간 / 맑음 / 일반주행 / 20~60kph(중저속) / 도로/중앙 분리대 (화단, 장애물, 풀) / 도심"
NLD-11,96%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 빗길 / 공통 / 60kph 이하 / 물맺힘 / 고속도로 / 고속화도로
NLD-12,36%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / 터널 / 아스팔트/콘크리트 / 터널 진출입 / 60kph 이하 / 초저조도 / 정상 / 고속도로 / 고속화도로
NLD-15,93%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / TG / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NLD-16,0%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / IC / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NLD-17,0%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / JC / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NLD-23,1%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 빗길 / 공통 / 61kph ~ 130kph / 물맺힘 / 고속도로 / 고속화도로
NLD-24,33%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / 터널 / 아스팔트/콘크리트 / 터널 진출입 / 61kph ~ 130kph / 초저조도 / 정상 / 고속도로 / 고속화도로
NLD-25,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NLD-26,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 버스전용차로 인접 / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NLD-27,6%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / TG / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NLD-28,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / IC / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NLD-29,59%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / JC / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NLD-3,1%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / TG / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NLD-30,17%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 차로 변경 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NLD-31,72%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 그림자 조합 / 고속도로 / 고속화도로
NLD-32,64%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 조도조건 조합 / 고속도로 / 고속화도로
NLD-33,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 카메라 오염 조합 / 고속도로 / 고속화도로
NLD-34,82%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 노면 상태 조합 / 고속도로 / 고속화도로
NLD-35,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 빗길 / 공통 / 60kph 이하 / 물맺힘 / 고속도로 / 고속화도로
NLD-36,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 터널 / 아스팔트/콘크리트 / 터널 진출입 / 60kph 이하 / 초저조도 / 정상 / 고속도로 / 고속화도로
NLD-37,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NLD-38,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 버스전용차로 인접 / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NLD-39,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / TG / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NLD-4,5%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / IC / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NLD-40,19%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / IC / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NLD-41,8%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / JC / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NLD-42,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 차로 변경 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NLD-43,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 그림자 조합 / 고속도로 / 고속화도로
NLD-44,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 조도조건 조합 / 고속도로 / 고속화도로
NLD-45,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 카메라 오염 조합 / 고속도로 / 고속화도로
NLD-46,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 아스팔트/콘크리트 / 공통 / 61kph ~ 130kph / 노면 상태 조합 / 고속도로 / 고속화도로
NLD-47,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 빗길 / 공통 / 61kph ~ 130kph / 물맺힘 / 고속도로 / 고속화도로
NLD-48,11%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 터널 / 아스팔트/콘크리트 / 터널 진출입 / 61kph ~ 130kph / 초저조도 / 정상 / 고속도로 / 고속화도로
NLD-5,3%,주간,맑음/흐림,고속도로 / 고속화도로,주간 / 맑음/흐림 / JC / 아스팔트/콘크리트 / 공통 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NLD-U-1,14%,주간,,도심,주간 / 지그재그 차선 / 원활 / 일반주행 / 0~20kph(저속) / 도심
NLD-U-10,6%,야간,,도심,야간 / 스쿨존(바닥도로색이 다른도로) / 일반주행 / 20~60kph(중저속) / 도심 / 왕복2차선
NLD-U-11,0%,주간,,도심,"주간 / 도로 가장 우측 차선, 연석 및 우측차선이 같이 보이는 영상 / 원활 / 일반주행 / 20~60kph(중저속) / 태양 역광 / 노란색 2중실선, 연석 / 도심"
NLD-U-12,0%,주간,,도심,"주간 / 도로 가장 우측 차선, 연석 및 우측차선이 같이 보이는 영상 / 원활 / 일반주행 / 20~60kph(중저속) / 노란색 1중 실선, 연석 / 도심"
NLD-U-13,2%,주간,,도심,"주간 / 도로 가장 우측 차선, 연석 및 우측차선이 같이 보이는 영상 / 원활 / 일반주행 / 20~60kph(중저속) / 노란색 점선, 연석 / 도심"
NLD-U-14,3%,주간,,도심,주간 / 중앙 차선 바로 옆 가드레일 / 유턴 / 20~60kph(중저속) / 노란 2중 실선 / 도심
NLD-U-15,62%,주간,,도심,주간 / 중앙 차선 바로 옆 가드레일 / 유턴 / 20~60kph(중저속) / 노란 점선 차선 / 도심
NLD-U-16,0%,야간,,도심,"야간 / 도로 가장 우측 차선, 연석 및 우측차선이 같이 보이는 영상 / 원할 / 일반주행 / 20~60kph(중저속) / 가로등이 없는 경우 / 연석 / 도심"
NLD-U-17,4%,야간,,도심,"야간 / 도로 가장 우측 차선, 연석 및 우측차선이 같이 보이는 영상 / 원할 / 일반주행 / 20~60kph(중저속) / 가로등이 있는 경우 / 연석 / 도심"
NLD-U-18,11%,야간,,도심,"야간 / 도로 가장 우측 차선, 연석 및 우측차선이 같이 보이는 영상 / 원할 / 일반주행 / 20~60kph(중저속) / 자차 뒤 헤드라이트 켠 타차량이 있는 경우 / 연석 / 도심"
NLD-U-19,85%,야간,,도심,"야간 / 중앙 차선 바로 옆 가드레일 / 원할 / 일반주행 / 20~60kph(중저속) / 자차 앞 브레이크 빛
 (가드레일 빛 반사) / 노란 2중 실선 / 도심"
NLD-U-2,30%,주간,,도심,"주간 / 주차구역(노상주차)이 있는 도로
 주차구역바로 옆차선으로 주행 / 원활 / 일반주행 / 0~20kph(저속) / 도심"
NLD-U-20,20%,야간,,도심,"야간 / 중앙 차선 바로 옆 가드레일 / 원할 / 일반주행 / 20~60kph(중저속) / 자차 앞 브레이크 빛
 (가드레일 빛 반사) / 노란 점선 차선 / 도심"
NLD-U-21,5%,야간,,도심,"야간 / 중앙 차선 바로 옆 가드레일 / 원할 / 일반주행 / 20~60kph(중저속) / 자차 뒤 헤드라이트 빛
 (가드레일 빛 반사) / 도심"
NLD-U-22,11%,야간,,도심,"야간 / 중앙 차선 바로 옆 가드레일 / 원할 / 일반주행 / 20~60kph(중저속) / 앞, 뒤로 자차 없음
 (가드레일 빛 반사 없음) / 도심"
NLD-U-23,0%,주간,,도심,주간 / 터널 (짧은 터널은 진출입 포함)내 자차로 한쪽이 노란차선 / 원할 / 일반주행 / 20~60kph(중저속) / 가장자리차선중 노란차선의경우만 / 도심
NLD-U-24,0%,야간,,도심,야간 / 터널 (짧은 터널은 진출입 포함)내 자차로 한쪽이 노란차선 / 원할 / 일반주행 / 20~60kph(중저속) / 가장자리차선중 노란차선의경우만 / 도심
NLD-U-25,0%,주간,,도심,주간 / 평지에서 오르막길로 변하는 지점 (구배 변경되는 지점) / 원할 / 일반주행 / 20~60kph(중저속) / 도심
NLD-U-26,0%,야간,,도심,야간 / 평지에서 오르막기로 변하는 지점 (구배 변경되는 지점) / 원할 / 일반주행 / 20~60kph(중저속) / 도심
NLD-U-3,14%,야간,,도심,야간 / 유턴차선 옆->유턴 / 유턴 / 0~20kph(저속) / 도심
NLD-U-4,97%,주간,,도심,주간 / 교차로(대로) / 원활/혼잡 / 신호정차 후 출발 / 0~20kph(저속) / 도심 / 왕복6차선이상/
NLD-U-5,96%,주간,,도심,주간 / 스쿨존(바닥도로색이 다른도로) / 일반주행 / 20~60kph(중저속) / 도심 / 왕복2차선
NLD-U-6,0%,야간,,도심,야간 / 지그재그 차선 / 원활 / 일반주행 / 0~20kph(저속) / 도심
NLD-U-7,0%,야간,,도심,"야간 / 주차구역(노상주차)이 있는 도로
 주차구역바로 옆차선으로 주행 / 원활 / 일반주행 / 0~20kph(저속) / 도심"
NLD-U-8,0%,주간,,도심,주간 / 유턴차선 옆->유턴 / 유턴 / 0~20kph(저속) / 도심
NLD-U-9,0%,야간,,도심,야간 / 교차로(대로) / 원활/혼잡 / 신호정차 후 출발 / 0~20kph(저속) / 도심 / 왕복6차선이상/
NRD-10,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 아스팔트 / 원활 / 일반 주행 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NRD-11,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 아스팔트 / 혼잡 / 일반 주행 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NRD-12,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 콘크리트 / 원활 / 일반 주행 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NRD-13,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 콘크리트 / 혼잡 / 일반 주행 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NRD-14,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 빗길 / 원활 / 일반 주행 / 61kph ~ 130kph / 물맺힘 / 고속도로 / 고속화도로
NRD-15,0%,야간,흐림,고속도로 / 고속화도로,야간 / 흐림 / 일반도로 / 공통 / 원활 / 일반 주행 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NRD-17,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 공통 / 원활 / 일반 주행 / 61kph ~ 130kph / 그림자 조합 / 조도조건 조합 / 카메라 오염 조합 / 노면 상태 조합 / 고속도로 / 고속화도로
NRD-18,0%,,맑음,고속도로 / 고속화도로,/ 맑음 / 터널 / 공통 / 원활 / 일반 주행 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NRD-19,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / TG/IC/JC / 공통 / 혼잡 / 일반 주행 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NRD-30,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 빗길 / 일반 주행 / 60kph 이하 / 물맺힘 / 고속도로 / 고속화도로
NRD-33,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 빗길 / 일반 주행 / 60kph 이하 / 물맺힘 / 고속도로 / 고속화도로
NRD-34,0%,야간,흐림,고속도로 / 고속화도로,야간 / 흐림 / 일반도로 / 공통 / 일반 주행 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NRD-36,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 공통 / 원활 / 차로 변경 / 61kph ~ 130kph / 정상 / 고속도로 / 고속화도로
NRD-37,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 공통 / 차로 변경 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NRD-38,0%,,맑음,고속도로 / 고속화도로,/ 맑음 / 터널 / 공통 / 일반 주행 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NRD-40,0%,주간,맑음,고속도로 / 고속화도로,주간 / 맑음 / 일반도로 / 아스팔트 / 일반주행 / 61kph ~ 130kph / 정상 / 3차로 이상의 전체 차선에서 로드 마커가 빽빽하게 있는 상태 (ex. 로드마커 3글자 이상) / 고속도로 / 고속화도로
NRD-41,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 아스팔트 / 일반주행 / 61kph ~ 130kph / 정상 / 3차로 이상의 전체 차선에서 로드 마커가 빽빽하게 있는 상태 (ex. 로드마커 3글자 이상) / 고속도로 / 고속화도로
NRD-5,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 빗길 / 원활 / 일반 주행 / 61kph ~ 130kph / 물맺힘 / 고속도로 / 고속화도로
NRD-8,0%,주간,맑음,고속도로 / 고속화도로,주간 / 맑음 / TG/IC/JC / 공통 / 혼잡 / 일반 주행 / 60kph 이하 / 정상 / 고속도로 / 고속화도로
NRD-U-1,0%,주간,,도심,주간 / 일반주행 / 20~60kph(중저속) / 그림자 조합 / 조도조건 조합 / 카메라 오염 조합 / 노면 상태 조합 / 도심
NRD-U-10,0%,야간,,도심,야간 / 정지선 / 횡단보도 / 교차로 복합 / 20~60kph(중저속) / 노면 상태 조합 / 도심
NRD-U-11,0%,주간,,도심,주간 / 20~60kph(중저속) / 노면 상태 조합 / 마름모 로드마커 / 도심
NRD-U-12,0%,야간,,도심,야간 / 20~60kph(중저속) / 노면 상태 조합 / 마름모 로드마커 / 도심
NRD-U-2,0%,주간,,도심,"주간 / 주차구역(가운데 ""버스"" 적혀있는 대로에 있는 버스정차구역) / 20~60kph(중저속) / 도심"
NRD-U-3,0%,주간,,도심,주간 / 0~20kph(저속) / 어린이보호구역/소방차등 대형 로드마커 / 도심 / 왕복2차선4차선
NRD-U-4,0%,주간,,도심,"주간 / 0~20kph(저속) / 유턴,좌/유턴 로드마커 / 도심"
NRD-U-5,0%,주간,,도심,주간 / 정지선 / 횡단보도 / 교차로 복합 / 20~60kph(중저속) / 노면 상태 조합 / 도심
NRD-U-6,0%,야간,,도심,야간 / 일반주행 / 20~60kph(중저속) / 그림자 조합 / 조도조건 조합 / 카메라 오염 조합 / 노면 상태 조합 / 도심
NRD-U-7,0%,야간,,도심,"야간 / 주차구역(가운데 ""버스"" 적혀있는 대로에 있는 버스정차구역) / 20~60kph(중저속) / 도심"
NRD-U-8,0%,야간,,도심,야간 / 0~20kph(저속) / 어린이보호구역/소방차등 대형 로드마커 / 도심 / 왕복2차선4차선
NRD-U-9,0%,야간,,도심,"야간 / 0~20kph(저속) / 유턴,좌/유턴 로드마커 / 도심"
NVD-10,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 혼잡 / 전방차 Cut-in/Cut-out / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-11,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / TG/IC/JC / 혼잡 / 일반 주행 / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-12,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / TG/IC/JC / 혼잡 / 전방차 Cut-in/Cut-out / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-13,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 혼잡 / 일반 주행 / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-14,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 혼잡 / 전방차 Cut-in/Cut-out / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-15,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / TG/IC/JC / 혼잡 / 일반 주행 / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-16,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / TG/IC/JC / 혼잡 / 전방차 Cut-in/Cut-out / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-17,0%,,,고속도로 / 고속화도로,/ 터널 / 혼잡 / 일반 주행 / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-18,0%,,,고속도로 / 고속화도로,/ 터널 / 혼잡 / 전방차 Cut-in/Cut-out / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-2,0%,주간,맑음,고속도로 / 고속화도로,주간 / 맑음 / 일반도로 / 혼잡 / 전방차 Cut-in/Cut-out / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-3,0%,주간,맑음,고속도로 / 고속화도로,주간 / 맑음 / TG/IC/JC / 혼잡 / 일반 주행 / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-37,0%,주간,맑음,고속도로 / 고속화도로,주간 / 맑음 / 일반도로 / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-38,20%,주간,맑음,고속도로 / 고속화도로,주간 / 맑음 / TG/IC/JC / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-39,0%,주간,흐림,고속도로 / 고속화도로,주간 / 흐림 / 일반도로 / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-4,0%,주간,맑음,고속도로 / 고속화도로,주간 / 맑음 / TG/IC/JC / 혼잡 / 전방차 Cut-in/Cut-out / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-40,0%,주간,흐림,고속도로 / 고속화도로,주간 / 흐림 / TG/IC/JC / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-41,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-42,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / TG/IC/JC / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
