Case,취득률,시간,날씨,취득 위치,
NVD-43,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / 일반도로 / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-44,0%,야간,맑음/흐림,고속도로 / 고속화도로,야간 / 맑음/흐림 / TG/IC/JC / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-45,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / 일반도로 / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-46,0%,야간,비,고속도로 / 고속화도로,야간 / 비 / TG/IC/JC / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-47,0%,,,고속도로 / 고속화도로,/ 터널 / 혼잡 / 전방차 Cut-in/Cut-out / 0~20kph(저속) / 고속도로 / 고속화도로
NVD-5,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 혼잡 / 일반 주행 / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-6,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / 일반도로 / 혼잡 / 전방차 Cut-in/Cut-out / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-7,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / TG/IC/JC / 혼잡 / 일반 주행 / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-8,0%,주간,비,고속도로 / 고속화도로,주간 / 비 / TG/IC/JC / 혼잡 / 전방차 Cut-in/Cut-out / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-9,0%,야간,맑음,고속도로 / 고속화도로,야간 / 맑음 / 일반도로 / 혼잡 / 일반 주행 / 20~60kph(중저속) / 고속도로 / 고속화도로
NVD-U-1,0%,주간,맑음,도심,주간 / 맑음 / 원활 / 일반주행 / 20~60kph(중저속) / 오토바이 / 도심
NVD-U-10,0%,야간,맑음,도심,야간 / 맑음 / 혼잡 / 마주 오는 차량 (Oncomming) / 0~20kph(저속) / 도심
NVD-U-11,0%,야간,맑음,도심,야간 / 맑음 / 원활 / 일반주행 / 20~60kph(중저속) / 오토바이 / 도심
NVD-U-12,0%,야간,흐림,도심,야간 / 흐림 / 원활 / 일반주행 / 20~60kph(중저속) / 자전거 / 도심
NVD-U-13,0%,야간,흐림,도심,야간 / 흐림 / 원활 / 일반주행 / 20~60kph(중저속) / 보행자 / 도심
NVD-U-14,0%,야간,흐림,도심,야간 / 흐림 / 원활 / 일반주행 / 20~60kph(중저속) / 펜스 / 도심
NVD-U-15,0%,야간,맑음,도심,야간 / 맑음 / 원활 / 일반주행 / 20~60kph(중저속) / 가로등/가로수/나무 / 도심
NVD-U-16,0%,야간,맑음,도심,야간 / 맑음 / 횡단보도 / 원활 / 일반주행 / 20~60kph(중저속) / 횡단보드 / 도심
NVD-U-17,0%,야간,맑음,도심,야간 / 맑음 / 혼잡 / 대형차 (버스) Cut-in/Cut-out / 20~60kph(중저속) / 도심
NVD-U-18,0%,야간,비,도심,야간 / 비 / 혼잡 / 자차 앞 초 근접차량 (30cm ~ 1m 이내) / 0~20kph(저속) / 도심
NVD-U-19,0%,야간,맑음,도심,"야간 / 맑음 / 혼잡 / U-tern, 좌회전, 우회전 (자차 90도 이상 회전) / 0~20kph(저속) / 도심"
NVD-U-2,0%,주간,흐림,도심,주간 / 흐림 / 원활 / 일반주행 / 20~60kph(중저속) / 자전거 / 도심
NVD-U-20,0%,야간,맑음,도심,야간 / 맑음 / 혼잡 / 마주 오는 차량 (Oncomming) / 0~20kph(저속) / 도심
NVD-U-21,0%,주간,-,도심,주간 / 컷 인 / 20~60kph(중저속) / 도심
NVD-U-22,3%,야간,-,도심,야간 / 컷 인 / 20~60kph(중저속) / 도심
NVD-U-23,117%,주간,-,도심,주간 / 대형 차 근접 / 20~60kph(중저속) / 도심
NVD-U-24,64%,야간,-,도심,야간 / 대형 차 근접 / 20~60kph(중저속) / 도심
NVD-U-25,10%,주간,-,도심,주간 / 대형 차 컷인 / 20~60kph(중저속) / 도심
NVD-U-26,0%,야간,-,도심,야간 / 대형 차 컷인 / 20~60kph(중저속) / 도심
NVD-U-27,55%,주간,-,도심,"주간 / 특수 차, 화물차 지나가는 상황 / 20~60kph(중저속) / 도심"
NVD-U-28,4%,야간,-,도심,"야간 / 특수 차, 화물차 지나가는 상황 / 20~60kph(중저속) / 도심"
NVD-U-29,0%,주간,-,도심,주간 / 오토바이 + 차량 / 20~60kph(중저속) / 오토바이 / 도심
NVD-U-3,0%,주간,흐림,도심,주간 / 흐림 / 원활 / 일반주행 / 20~60kph(중저속) / 보행자 / 도심
NVD-U-30,23%,야간,-,도심,야간 / 오토바이 + 차량 / 20~60kph(중저속) / 오토바이 / 도심
NVD-U-31,87%,주간,-,도심,주간 / 20~60kph(중저속) / 도심
NVD-U-32,31%,야간,-,도심,야간 / 20~60kph(중저속) / 도심
NVD-U-4,0%,주간,흐림,도심,주간 / 흐림 / 원활 / 일반주행 / 20~60kph(중저속) / 펜스 / 도심
NVD-U-5,21%,주간,맑음,도심,주간 / 맑음 / 원활 / 일반주행 / 20~60kph(중저속) / 가로등/가로수/나무 / 도심
NVD-U-6,0%,주간,맑음,도심,주간 / 맑음 / 횡단보도 / 원활 / 일반주행 / 20~60kph(중저속) / 횡단보드 / 도심
NVD-U-7,7%,주간,맑음,도심,주간 / 맑음 / 혼잡 / 대형차 (버스) Cut-in/Cut-out / 20~60kph(중저속) / 도심
NVD-U-8,0%,주간,비,도심,주간 / 비 / 혼잡 / 자차 앞 초 근접차량 (30cm ~ 1m 이내) / 0~20kph(저속) / 도심
NVD-U-9,11%,주간,맑음,도심,"주간 / 맑음 / 혼잡 / U-tern, 좌회전, 우회전
 (자차 90도 이상 회전) / 0~20kph(저속) / 도심"
,,,,,
,,,,,
9/2 취득 금지,,,,,
6주차 취득률,,,,,
